Number of Femicide,"Rate per 100,000 population",Age (Cleaned),Country Code,Country Name,Region,Subregion,Indicator,Age,Year
7,18.425659046,27,GUY,Guyana,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
0,0,5,DMA,Dominica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,0-9,1/1/2022 12:00:00 AM
1,0.405416363,27,BGR,Bulgaria,Europe,Eastern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2009 12:00:00 AM
208,1.884337549,27,USA,United States of America,Americas,Northern America,Persons arrested/suspected for intentional homicide,25-29,1/1/2014 12:00:00 AM
1,0.687471857,27,IRL,Ireland,Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
3,0.666334240,5,HUN,Hungary,Europe,Eastern Europe,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
4,1.434964709,27,CHE,Switzerland,Europe,Western Europe,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
0,0,27,GRD,Grenada,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2016 12:00:00 AM
1,27.311211252,27,ATG,Antigua and Barbuda,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
1,3.695628072,22,SUR,Suriname,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2021 12:00:00 AM
10,1.139022866,22,GTM,Guatemala,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
1,2.078872420,22,SVN,Slovenia,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
0,0,27,FRO,Faroe Islands,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,25-29,1/1/2014 12:00:00 AM
0,0,27,GBR_S,United Kingdom (Scotland),Europe,Northern Europe,Victims of intentional homicide,25-29,1/1/2017 12:00:00 AM
2,1.614205004,27,URY,Uruguay,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
11,8.446302631,27,JAM,Jamaica,Americas,Latin America and the Caribbean,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
1,0.717041201,22,OMN,Oman,Asia,Western Asia,Victims of intentional homicide,20-24,1/1/2018 12:00:00 AM
1,0.351237057,5,FIN,Finland,Europe,Northern Europe,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
1.008264463,0.204281588,5,PRT,Portugal,Europe,Southern Europe,Victims of intentional homicide,0-9,1/1/2012 12:00:00 AM
2,0.141508466,22,ITA,Italy,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2019 12:00:00 AM
0,0,27,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Victims of intentional homicide,25-29,1/1/2018 12:00:00 AM
3,1.443973816,22,SRB,Serbia,Europe,Southern Europe,Victims of intentional homicide,20-24,1/1/2015 12:00:00 AM
0,0,22,HRV,Croatia,Europe,Southern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,22,IRL,Ireland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,20-24,1/1/2020 12:00:00 AM
0,0,5,JPN,Japan,Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,0-9,1/1/2014 12:00:00 AM
3,0.545190871,5,CZE,Czechia,Europe,Eastern Europe,Victims of intentional homicide,0-9,1/1/2015 12:00:00 AM
5,0.572383962,5,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Victims of intentional homicide,0-9,1/1/2020 12:00:00 AM
0,0,5,GUY,Guyana,Americas,Latin America and the Caribbean,Victims of intentional homicide,0-9,1/1/2018 12:00:00 AM
1,2.757403629,27,BTN,Bhutan,Asia,Southern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2019 12:00:00 AM
3,1.568475729,27,CRI,Costa Rica,Americas,Latin America and the Caribbean,Persons arrested/suspected for intentional homicide,25-29,1/1/2009 12:00:00 AM
4,0.711641838,22,NLD,Netherlands (Kingdom of the),Europe,Western Europe,Victims of intentional homicide,20-24,1/1/2021 12:00:00 AM
0,0,5,IRL,Ireland,Europe,Northern Europe,Persons arrested/suspected for intentional homicide,0-9,1/1/2021 12:00:00 AM
1,0.392532462,27,HKG,"China, Hong Kong Special Administrative Region",Asia,Eastern Asia,Persons arrested/suspected for intentional homicide,25-29,1/1/2021 12:00:00 AM
1,0.511367704,27,SRB,Serbia,Europe,Southern Europe,Victims of intentional homicide,25-29,1/1/2022 12:00:00 AM
6,0.711591831,22,LKA,Sri Lanka,Asia,Southern Asia,Persons arrested/suspected for intentional homicide,20-24,1/1/2016 12:00:00 AM
141,6.362257464,27,KEN,Kenya,Africa,Sub-Saharan Africa,Victims of intentional homicide,25-29,1/1/2021 12:00:00 AM
